Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-May-2019,340.40,352.25,338.85,350.45,347.261040007437478694,64538,1057,22411533.00,14020,21.72,13.40,10.05
13-May-2019,347.00,355.05,332.85,338.85,348.716757937705719172,69573,995,24261271.00,10200,14.66,22.20,-8.15
10-May-2019,347.90,349.85,343.70,346.20,346.067770998460398015,35074,565,12137981.00,2658,7.58,6.15,-1.70
9-May-2019,342.20,352.00,341.40,346.05,347.539954643251729952,85985,1164,29883223.00,9019,10.49,10.60,3.85
8-May-2019,344.80,345.70,338.30,340.70,341.573427926475330538,15505,327,5296096.00,2407,15.52,7.40,-4.10
7-May-2019,339.00,346.20,336.65,344.95,343.350147058823529411,47600,1049,16343467.00,7915,16.63,9.55,5.95
6-May-2019,335.00,343.00,335.00,339.40,339.918964582203495890,47942,859,16296395.00,9134,19.05,8.00,4.40
3-May-2019,341.80,342.80,333.35,335.45,337.335536373685819789,42517,1126,14342495.00,10999,25.87,9.45,-6.35
2-May-2019,348.00,351.75,341.50,343.80,346.591536888469403806,31785,923,11016412.00,5786,18.20,10.25,-4.20
30-April-2019,350.50,354.30,343.60,348.40,349.290730570810450990,54081,1267,18889992.00,8538,15.79,10.70,-2.10
26-April-2019,343.75,353.55,341.30,352.15,349.462988813086133338,152589,2785,53324208.00,24807,16.26,12.25,8.40
25-April-2019,340.00,344.40,331.40,342.25,340.006960211837507363,174851,2686,59450557.00,21875,12.51,13.00,2.25
24-April-2019,348.00,349.55,326.90,332.85,336.663294951756490218,300144,4921,101047468.00,22070,7.35,22.65,-15.15
23-April-2019,337.00,348.00,332.40,344.50,342.463530339737449997,88745,1522,30391926.00,10176,11.47,15.60,7.50
22-April-2019,337.30,342.85,336.90,339.30,340.178644067796610169,35400,1052,12042324.00,8722,24.64,5.95,2.00
18-April-2019,346.55,346.60,334.25,337.20,338.392744740765280768,42259,1842,14300139.00,13920,32.94,12.35,-9.35
16-April-2019,349.70,350.65,343.55,344.55,345.882171309415601775,74812,2498,25876137.00,33730,45.09,7.10,-5.15
15-April-2019,339.00,350.25,337.95,349.35,346.029849497161508097,71693,1687,24807918.00,21244,29.63,12.30,10.35
12-April-2019,342.90,343.70,337.00,337.90,339.558419369798149910,40971,1742,13912048.00,11405,27.84,6.70,-5.00
11-April-2019,347.55,350.80,341.00,342.20,343.990956716976425096,48102,1553,16546653.00,7261,15.10,9.80,-5.35
10-April-2019,352.65,352.90,345.55,347.30,348.593406148867313915,49440,2246,17234458.00,14006,28.33,7.35,-5.35
9-April-2019,352.80,356.60,349.40,351.60,352.988627090983272133,58824,1706,20764203.00,14625,24.86,7.20,-1.20
8-April-2019,364.50,365.45,347.45,351.20,355.076245153724302705,114263,4806,40572077.00,30475,26.67,18.00,-13.30
5-April-2019,361.65,362.85,357.50,359.20,359.854974880175550037,86585,2404,31158043.00,19053,22.00,5.35,-2.45
4-April-2019,364.80,365.00,354.70,362.45,360.171462016082516201,117892,3031,42461334.00,22235,18.86,10.30,-2.35
3-April-2019,359.00,365.00,352.05,360.25,360.174494895789025946,188080,4179,67741619.00,41785,22.22,12.95,1.25
2-April-2019,366.00,373.00,357.60,359.00,366.195103718931040926,556504,10241,203789040.00,125707,22.59,15.40,-7.00
1-April-2019,346.55,362.00,346.50,358.75,352.845534909909909909,177600,2085,62665367.00,36671,20.65,15.50,12.20
29-March-2019,337.10,346.65,337.10,344.55,343.723188912359618862,65803,1068,22618017.00,17198,26.14,9.55,7.45
28-March-2019,335.50,339.50,335.50,337.05,337.219611430013246704,63412,1455,21383770.00,12234,19.29,4.00,1.55
27-March-2019,329.55,337.20,329.50,335.90,333.934099063714146196,47101,746,15728630.00,12013,25.50,7.70,6.35
26-March-2019,333.25,333.25,325.05,328.15,327.666124397870362545,47332,1818,15509093.00,9315,19.68,8.20,-5.10
25-March-2019,336.90,336.90,327.65,329.60,331.669518752747810206,29569,687,9807136.00,6988,23.63,9.25,-7.30
22-March-2019,341.50,341.85,336.20,338.00,338.495366776634969920,41224,1355,13954133.00,11135,27.01,5.65,-3.50
20-March-2019,344.00,344.25,339.30,341.60,341.912155054721246167,44681,605,15276977.00,9303,20.82,4.95,-2.40
19-March-2019,338.50,342.00,334.00,339.85,337.594420328023684545,55057,1438,18586936.00,9466,17.19,8.00,1.35
18-March-2019,343.30,346.45,337.05,338.45,340.371521706919543636,67490,979,22971674.00,12826,19.00,9.40,-4.85
15-March-2019,336.70,345.60,336.35,341.30,341.038606870890581125,86539,1271,29513140.00,15279,17.66,9.25,4.60
14-March-2019,340.10,342.00,333.10,336.85,336.668464571601893734,75829,1349,25529233.00,7508,9.90,8.90,-3.25
13-March-2019,341.70,345.90,336.10,337.25,341.583186833425418989,59727,1068,20401739.00,11076,18.54,9.80,-4.45
12-March-2019,338.60,341.40,335.10,339.55,338.498329270851829730,61949,1612,20969633.00,13218,21.34,6.30,0.95
11-March-2019,347.00,347.90,336.10,337.45,340.885400493195725637,87592,3505,29858834.00,17788,20.31,11.80,-9.55
8-March-2019,351.00,351.00,341.25,345.25,344.533764960390954507,64253,1144,22137328.00,8763,13.64,9.75,-5.75
7-March-2019,363.05,363.05,349.75,350.65,355.531110775504039870,52972,772,18833194.00,4505,8.50,13.30,-12.40
6-March-2019,364.50,365.00,355.00,356.15,359.379469128423103318,45171,962,16233530.00,7488,16.58,10.00,-8.35
5-March-2019,359.90,363.00,355.65,359.00,358.610650289287921059,53407,1293,19152319.00,8391,15.71,7.35,-0.90
1-March-2019,355.00,360.00,354.60,357.85,357.288177641653905053,32650,937,11665459.00,5254,16.09,5.40,2.85
28-February-2019,349.95,357.00,348.05,354.30,352.085170752958830505,41317,1325,14547103.00,3944,9.55,8.95,4.35
27-February-2019,355.45,357.75,344.00,346.90,348.194905084006109535,54996,1809,19149327.00,13492,24.53,13.75,-8.55
26-February-2019,351.00,354.30,342.15,353.35,348.967427404315780126,56305,1596,19648611.00,7376,13.10,12.15,2.35
25-February-2019,357.45,361.10,352.20,353.70,355.073400649625759073,28324,1053,10057099.00,6911,24.40,8.90,-3.75
22-February-2019,353.55,360.30,352.90,357.45,357.412552679108970499,46508,1087,16622543.00,4711,10.13,7.40,3.90
21-February-2019,355.70,357.20,352.00,353.10,354.288073939348947700,53882,580,19089750.00,4188,7.77,5.20,-2.60
20-February-2019,351.50,358.70,351.50,356.35,356.251061741041893420,46857,1137,16692856.00,8164,17.42,7.20,4.85
19-February-2019,352.50,356.10,350.70,353.90,354.002497262615978638,52057,959,18428308.00,4813,9.25,5.40,1.40
18-February-2019,375.00,375.00,350.65,352.95,354.038558216741759544,105425,2867,37324515.00,17715,16.80,24.35,-22.05
15-February-2019,364.90,368.00,358.00,359.25,361.920999783730342632,32367,807,11714297.00,5497,16.98,10.00,-5.65
14-February-2019,370.55,373.75,362.60,367.80,368.262919902936275130,102613,2011,37788563.00,18100,17.64,11.15,-2.75
13-February-2019,360.55,369.45,357.00,367.80,365.458295287625550835,100756,2801,36822116.00,11784,11.70,12.45,7.25
12-February-2019,355.25,362.30,349.40,358.35,356.730646318398226048,45999,1093,16409253.00,6141,13.35,12.90,3.10
11-February-2019,356.75,358.20,350.00,354.25,354.145446549779162922,52301,850,18522161.00,4383,8.38,8.20,-2.50
8-February-2019,352.00,362.00,350.65,356.35,358.474057663569958095,95693,1611,34303458.00,23102,24.14,11.35,4.35
7-February-2019,359.75,365.60,354.25,355.35,359.609450726978998384,47044,647,16917467.00,6511,13.84,11.35,-4.40
6-February-2019,356.40,363.00,353.40,360.75,358.125078369905956112,54230,915,19421123.00,12599,23.23,9.60,4.35
5-February-2019,355.00,362.70,350.00,356.65,356.619321985535398764,91119,1164,32494796.00,7423,8.15,12.70,1.65
4-February-2019,350.00,361.20,348.80,355.15,354.657881838404403725,185661,2136,65846137.00,13162,7.09,12.40,5.15
1-February-2019,339.50,355.75,339.50,349.35,348.820647434537698272,169716,2693,59200445.00,14211,8.37,16.25,9.85
31-January-2019,320.40,347.50,313.40,342.75,336.789787407787037765,470243,7405,158373040.00,37758,8.03,34.10,22.35
30-January-2019,323.00,328.00,317.50,322.25,322.233419455907969650,85537,1171,27562880.00,8391,9.81,10.50,-0.75
29-January-2019,318.40,323.70,316.05,321.85,320.713885653391489678,40351,520,12941126.00,4123,10.22,7.65,3.45
28-January-2019,324.00,324.00,312.35,318.60,318.477757447538452741,69956,930,22279430.00,11852,16.94,11.65,-5.40
25-January-2019,327.30,328.95,322.00,323.70,325.029887020493956910,45672,595,14844765.00,5916,12.95,6.95,-3.60
24-January-2019,333.50,333.50,326.00,326.40,328.702361769715943096,43442,468,14279488.00,5411,12.46,7.50,-7.10
23-January-2019,333.45,336.20,329.35,332.90,332.896904361164965805,46937,680,15625182.00,11529,24.56,6.85,-0.55
22-January-2019,325.85,332.80,322.80,331.25,327.957269348678689479,58389,733,19149097.00,9409,16.11,10.00,5.40
21-January-2019,325.95,334.45,324.05,326.10,329.601887270959697360,94634,1196,31191545.00,12850,13.58,10.40,0.15
18-January-2019,324.00,328.10,322.00,325.05,324.635001661280091823,33107,432,10747691.00,6827,20.62,6.10,1.05
17-January-2019,324.00,327.45,319.20,324.95,323.494587899512641697,74278,980,24028531.00,10577,14.24,8.25,0.95
16-January-2019,318.90,326.30,318.20,322.85,323.067870667055053888,61794,726,19963656.00,7889,12.77,8.10,3.95
15-January-2019,316.00,322.75,314.95,319.70,319.463082725095716764,69737,1171,22278397.00,6690,9.59,7.80,3.70
14-January-2019,325.40,326.30,314.10,316.45,319.335933628530779928,62557,1794,19976698.00,14219,22.73,12.20,-8.95
11-January-2019,320.30,326.35,312.00,324.75,318.036455458659896235,108708,2057,34573107.00,11688,10.75,14.35,4.45
10-January-2019,329.00,330.45,320.00,321.15,325.413364465799276575,74092,2674,24110527.00,22850,30.84,10.45,-7.85
9-January-2019,329.70,333.00,327.70,328.80,329.800893967044883493,37809,965,12469442.00,7782,20.58,5.30,-0.90
8-January-2019,329.80,331.30,327.05,329.70,330.039931367961316487,32055,974,10579430.00,11799,36.81,4.25,-0.10
7-January-2019,332.50,334.50,329.90,331.15,331.910533311181259345,48152,867,15982156.00,7411,15.39,4.60,-1.35
4-January-2019,331.65,333.65,319.30,331.70,326.627051265976826686,135587,2863,44286382.00,23580,17.39,14.35,0.05
3-January-2019,332.80,334.70,326.20,331.10,330.673446327683615819,84075,815,27801370.00,9795,11.65,8.50,-1.70
2-January-2019,332.60,340.65,329.70,331.15,335.995373063296494103,151288,2264,50832068.00,18941,12.52,10.95,-1.45
1-January-2019,332.80,333.30,329.85,332.30,331.623171417854463615,21328,319,7072859.00,3404,15.96,3.45,-0.50
31-December-2018,326.00,334.05,326.00,332.50,332.367426120948685784,34279,490,11393223.00,7060,20.60,8.05,6.50
28-December-2018,327.00,333.50,326.75,330.20,331.026949193218233409,70837,1511,23448956.00,17738,25.04,6.75,3.20
27-December-2018,317.30,326.00,317.15,323.95,322.134814144354611837,81757,1142,26336776.00,13374,16.36,8.85,6.65
26-December-2018,312.70,318.80,307.80,315.70,311.826353332458098113,45702,664,14251088.00,6294,13.77,11.00,3.00
24-December-2018,314.50,319.15,312.00,314.60,315.691431481332582884,37311,563,11778763.00,4413,11.83,7.15,0.10
21-December-2018,323.00,324.80,312.25,314.60,318.681946518427425932,79691,1163,25396083.00,18891,23.71,12.55,-8.40
20-December-2018,328.00,331.70,320.50,322.40,326.802714333002317113,51357,1083,16783607.00,11515,22.42,11.20,-5.60
19-December-2018,337.05,337.65,328.60,330.15,331.649013959672058497,63182,2304,20954248.00,14348,22.71,9.05,-6.90
18-December-2018,334.00,341.00,327.95,335.80,337.218116724552238079,102789,1725,34662313.00,24804,24.13,13.05,1.80
17-December-2018,330.00,332.15,324.45,331.25,328.599961236553929644,51595,618,16954115.00,11017,21.35,7.70,1.25
14-December-2018,331.00,334.50,324.45,328.25,329.154791464475226559,79339,1886,26114812.00,8637,10.89,10.05,-2.75
13-December-2018,331.40,337.60,329.05,330.55,332.989512235724987514,96112,1649,32004288.00,17914,18.64,8.55,-0.85
12-December-2018,332.00,338.35,326.70,329.50,332.665577142657915609,114729,1871,38166389.00,20641,17.99,11.65,-2.50
11-December-2018,316.00,334.00,314.95,331.15,328.837013536660956963,150037,2598,49337719.00,18083,12.05,19.05,15.15
10-December-2018,315.00,321.45,310.00,317.95,316.855293356087800859,101958,1182,32305932.00,15025,14.74,11.45,2.95
7-December-2018,320.20,320.60,310.50,316.30,315.874560843181092302,100192,1796,31648104.00,10245,10.23,10.10,-3.90
6-December-2018,322.05,325.55,317.00,320.10,321.413590811978422785,84719,2629,27229838.00,27121,32.01,8.55,-1.95
5-December-2018,329.80,333.90,320.20,325.15,326.647219111177822166,86609,2167,28290589.00,16736,19.32,13.70,-4.65
4-December-2018,328.40,334.80,324.90,330.95,331.747788135392205697,126477,2624,41958465.00,27444,21.70,9.90,2.55
3-December-2018,325.10,329.80,318.75,327.15,325.384755648677728070,88295,1786,28729847.00,21592,24.45,11.05,2.05
30-November-2018,317.55,328.35,313.85,323.20,322.828727164054988175,153924,3335,49691089.00,30509,19.82,14.50,5.65
29-November-2018,312.80,319.40,308.95,314.25,314.980566299002053191,62829,1375,19789914.00,13676,21.77,10.45,1.45
28-November-2018,308.75,315.20,306.00,310.95,311.554739883748173105,89633,1691,27925586.00,17670,19.71,9.20,2.20
27-November-2018,314.90,316.85,306.10,307.70,309.802866130723523243,74386,1647,23044996.00,12833,17.25,10.75,-7.20
26-November-2018,305.00,312.70,294.80,309.55,302.860128192084647471,147435,2856,44652183.00,14998,10.17,17.90,4.55
22-November-2018,304.00,310.85,303.10,307.60,307.209783264853075769,51353,1258,15776144.00,12450,24.24,7.75,3.60
21-November-2018,309.00,309.00,300.95,304.20,303.474665085259862728,102862,3030,31216011.00,22407,21.78,8.05,-4.80
